Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Cơm gạo lứt và các món luộc,Bánh đúc nước đường,Bánh bèo Huế; Bò xào nhẹ; Salad trộn ít dầu,Chả lá lốt hấp; Cá hấp; Cải thìa xào,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Chè đu đủ táo đỏ tuyết tử,Mì chay sốt dầu mè; Rau luộc; Miến xào tam sắc (món chay),Chả Đùm Óc Đậu Chay; Đậu phụ sốt; Canh rau ngót,chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Pudding nhãn,Bánh khoai mì nướng; Ức gà áp chảo; Rau củ luộc,Bánh mì pate; Salad trộn ít dầu; Đậu phụ hấp,Không chay,0,1,1,0,1,1,0,0,1,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Bánh đúc nước đường,Xôi mặn; Trứng luộc; Rau luộc,Cơm tấm sườn bì chả; Canh rau ngót,Không chay,0,1,0,0,0,1,0,0,0,0,"Béo phì, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Bánh tằm mì,Sinh tố đào,Cookie Bơ Đậu Phộng Thuần Chay; Gỏi KHỔ QUA chay; Canh đậu hũ non hải sản,Mì lá tươi cuộn chay; Nộm đu đủ chay; Canh rau ngót,chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Khoai lang hấp,Sơ ri,Cơm gà Hải Nam; Canh rau ngót; Canh cá nấu rau,Lẩu mắm miền Tây; Đậu phụ sốt; Rau luộc,Không chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + trái cây ít đường,Sinh tố đào,Bánh xèo miền Tây; Tôm nướng; Rau luộc,Xôi gấc; Salad trộn ít dầu; Trứng luộc,Không chay,0,0,1,0,1,1,0,1,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Phô mai ít béo,Bánh mì trứng ốp la; Cải thìa xào; Canh bí đỏ,Cháo gà; Canh rau ngót,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh quy hạt chia + sữa ngũ cốc,Chè hạt sen thanh long đỏ,Lẩu ếch măng chua; Cơm trắng; Đậu phụ sốt,Canh cà chua trứng; Rau luộc,Không chay,0,1,1,1,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Pancake chuối yến mạch cải bó xôi,Chè hạt sen thanh long đỏ,Bánh tiêu nhân đậu xanh; Canh rau ngót; Canh mồng tơi,Bạch tuộc xào cay Hàn Quốc; Trứng luộc,Không chay,0,0,1,0,0,1,0,0,0,1,"Tim mạch, Thiếu máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt,Sinh tố đào,Gỏi KHỔ QUA chay; Rau luộc; Canh bí đỏ,Khoai Tây Chiên Kho Cà Chua Chay; Rau muống xào tỏi,chay,0,0,0,0,1,0,0,0,0,0,Huyết áp,"Giảm muối, ổn định huyết áp"
Cơm gạo lứt và các món luộc,Bánh đúc nước đường,Trứng hấp Hàn Quốc; Khoai lang; Rau củ luộc,Nghêu hấp sả; Đậu phụ sốt; Cải thìa xào,Không chay,0,1,0,1,1,1,0,0,0,0,"Béo phì, Huyết áp, Rối loạn mỡ máu, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu"
Bánh quy hạt chia + sữa ngũ cốc,Sinh tố đào,Bánh cam đường; Ức gà áp chảo; Salad trộn ít dầu,Bánh pancake mật ong; Tôm nướng; Rau củ luộc,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Pancake chuối yến mạch cải bó xôi,Sữa chua Hy Lạp,Sandwich cá ngừ; Bánh mì; Rau luộc,Bún mắm miền Tây; Đậu phụ sốt; Canh rau ngót,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + chery,Bánh đúc nước đường,Chân giò hầm hạt sen; Khoai lang; Ức gà áp chảo,Canh đậu hũ non hải sản; Trứng luộc,Không chay,0,0,1,0,0,1,1,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Chè đu đủ táo đỏ tuyết tử ,Bánh mì thịt nguội; Rau muống xào tỏi; Canh mồng tơi,Bánh tiêu nhân đậu xanh; Salad trộn ít dầu,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì yến mạch ,Sinh tố đào,Canh chua cá lóc; Bún; Kim chi ít cay,Cơm sườn nướng mật ong; Salad trộn ít dầu,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Sữa chua Hy Lạp ,Cơm sườn nướng mật ong; Rau muống xào tỏi; Canh chua,Canh kim chi Hàn Quốc; Ức gà áp chảo,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + chery,Thanh long,Bánh cuốn Thanh Trì; Nấm xào; Cải thìa xào,Đậu hũ sốt cà chua; Salad trộn ít dầu,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Khoai lang hấp,Bánh chuối,Lẩu mắm miền Tây; Miến; Ức gà áp chảo,Xôi mặn; Canh rau ngót; Trứng luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Hạt hạnh nhân,Canh măng nấu vịt; Cơm trắng; Bò xào nhẹ,Trứng hấp Hàn Quốc; Rau luộc,Không chay,0,0,1,0,0,1,1,0,0,1,"Tim mạch, Thiếu máu, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Sữa chua Hy Lạp,Xôi lá cẩm; Tôm nướng; Rau luộc,Canh cà chua trứng; Đậu phụ sốt,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sữa chua Hy Lạp + dâu,Sơ ri,Canh khoai mỡ tôm tươi; Phở; Đậu phụ hấp,Cơm sườn nướng mật ong; Canh rau ngót,Không chay,0,1,0,0,0,0,0,1,0,0,"Béo phì, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung canxi và vitamin D"
Pancake chuối yến mạch cải bó xôi,Sữa chua Hy Lạp,Lẩu vịt nấu chao; Bánh mì; Trứng luộc,Bánh tráng cuốn thịt heo; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố chuối,Bánh chuối,Gỏi cuốn tôm thịt; Miến; Canh cá nấu rau,Bánh khọt Vũng Tàu; Đậu phụ sốt; Cải thìa xào,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Nước ép dưa lưới + bánh mì bơ tỏi,Chè hạt sen thanh long đỏ,Cơm chiên dương châu; Đậu phụ sốt; Rau củ luộc,Xôi gấc; Rau muống xào tỏi; Tôm nướng,Không chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Bánh mì đen + trứng ốp la,Bánh chuối,Tôm hấp bia; Miến; Canh rau ngót,Lẩu ếch măng chua; Đậu phụ sốt; Salad trộn ít dầu,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Chè đu đủ táo đỏ tuyết tử ,Cháo hải sản; Cải thìa xào; Canh chua,Lẩu vịt nấu chao; Ức gà áp chảo; Cải thìa xào,Không chay,0,1,1,0,0,0,1,0,0,1,"Béo phì, Tim mạch, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Nước ép dưa lưới + bánh mì bơ tỏi,Pancake chuối yến mạch cải bó xôi,Gà hấp muối; Miến; Canh rau ngót,Cháo lòng; Ức gà áp chảo; Salad trộn ít dầu,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Bánh chuối,Miến gà; Salad trộn ít dầu; Canh mồng tơi,Phở gà; Rau luộc; Bánh mì nhỏ,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Chè đu đủ táo đỏ tuyết tử ,Canh rau ngót thịt băm chay; Khoai lang; Dưa góp,Cháo sườn; Cải thìa xào,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Pudding nhãn,Hủ tiếu Nam Vang; Trứng luộc; Rau luộc,Bánh mì chả cá; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Chè đu đủ táo đỏ tuyết tử ,Cơm rang dưa bò; Canh mồng tơi; Dưa góp,Sandwich trứng; Cải thìa xào,Không chay,0,0,0,0,1,0,1,1,0,1,"Huyết áp, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt,Sinh tố đào,Bí đao kho nghệ; Heo quay chay (cách làm đơn giản); Rau luộc,Cuốn chay chấm bơ hạt điều; Su su xào đậu hũ chay; Cải thìa xào,chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Sữa chua Hy Lạp ,Cơm sườn nướng mật ong; Cải thìa xào; Canh cá nấu rau,Đậu hũ sốt cà chua; Canh rau ngót,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Yến mạch + sữa hạt,Chè bắp,Heo quay chay; Rau muống xào tỏi; Canh bí đỏ,Canh Nấm Mỡ Cần Tây Chay (Vegan); Đậu phụ sốt; Chà bông (ruốc) chay lúa mạch,chay,0,1,0,0,1,0,0,1,0,0,"Béo phì, Huyết áp, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Bổ sung canxi và vitamin D"
Bánh quy hạt chia + sữa ngũ cốc,Pudding nhãn,Sandwich cá ngừ; Bánh mì; Rau luộc,Phở gà; Cải thìa xào; Bánh mì nhỏ,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Cốc,Miến măng vịt; Trứng luộc; Rau củ luộc,Bánh rán Doraemon; Rau luộc; Cá hấp,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sữa chua thực vật + trái cây,Sữa chua thực vật,Cà tím nướng xạ hương chay; Bánh đa đỏ hải sản chay; Khoai tây kho chay,Đậu non sốt nấm hành (món chay); Canh chay rong biển đậu hủ nấm kim châm,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Sữa chua thực vật + trái cây,Bánh bò bông,Súp gà nấm đông cô; Cải thìa xào; Canh cá nấu rau,Canh đậu hũ non hải sản; Cà tím cuộn đậu hũ hấp (món chay),chay,0,1,1,0,0,0,1,1,0,1,"Béo phì, Tim mạch, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh quy hạt chia ,Sinh tố đào,Bánh tiêu nhân đậu xanh; Canh rau ngót; Canh bí đỏ,Bánh khọt Vũng Tàu; Tôm nướng; Salad trộn ít dầu,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Chè hạt sen thanh long đỏ,Miến măng vịt; Ức gà áp chảo; Rau muống xào tỏi,Canh đậu hũ non hải sản; Cá hấp,Không chay,1,1,1,0,0,1,0,0,0,1,"Táo bón, Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Sinh tố đào,Bánh cam đường; Tôm nướng; Cải thìa xào,Bánh ướt chả lụa; Trứng luộc; Salad trộn ít dầu,Không chay,1,0,0,0,0,0,0,0,1,0,"Táo bón, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm"
Pancake chuối yến mạch cải bó xôi,Sinh tố đào,Cơm sườn nướng mật ong; Rau củ luộc; Canh mồng tơi,Canh cà chua trứng; Tôm nướng,Không chay,0,0,1,0,0,1,0,0,0,1,"Tim mạch, Thiếu máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh bao khoai tím ,Pudding nhãn,Canh kim chi Hàn Quốc; Cơm trắng; Đậu phụ sốt,Gỏi cuốn tôm thịt; Cá hấp,Không chay,1,0,0,0,0,0,0,0,1,0,"Táo bón, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Tăng cân, bổ sung năng lượng và đạm"
Bánh mì yến mạch ,Chè hạt sen thanh long đỏ,Lẩu vịt nấu chao; Phở; Bò xào nhẹ,Bò hấp/luộc cần tỏi; Tôm nướng,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Sữa chua Hy Lạp + trái cây ít đường,Chè hạt sen thanh long đỏ,Bánh chuối hấp/luộc; Canh cá nấu rau; Dưa góp,Bánh khọt Vũng Tàu; Đậu phụ sốt; Canh rau ngót,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Pancake chuối yến mạch cải bó xôi,Pancake chuối yến mạch cải bó xôi,Thịt ba chỉ luộc chấm mắm tép; Phở; Canh mồng tơi,Hủ tiếu Mỹ Tho; Đậu phụ sốt; Cải thìa xào,Không chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Bánh bao khoai tím,Táo,Lẩu cá kèo lá giang; Phở; Cải thìa xào,Bánh khoai mì nướng; Salad trộn ít dầu; Trứng luộc,Không chay,0,0,0,0,0,0,0,0,1,0,Suy dinh dưỡng,"Tăng cân, bổ sung năng lượng và đạm"
Bánh bao khoai tím ,Sinh tố đào,Bánh xèo miền Tây; Bò xào nhẹ; Rau luộc,Hủ tiếu Mỹ Tho; Cá hấp; Rau luộc,Không chay,1,0,0,0,0,1,0,0,1,0,"Táo bón, Thiếu máu, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Sữa chua Hy Lạp + trái cây ít đường,Pudding nhãn,Bánh mì chả cá; Salad trộn ít dầu; Canh bí đỏ,Lẩu gà lá é; Rau muống xào tỏi,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Bánh bò nướng,Thịt ba chỉ luộc chấm mắm tép; Bánh mì; Canh mồng tơi,Miến lươn; Đậu phụ sốt; Rau muống xào tỏi,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sữa chua Hy Lạp + trái cây ít đường,Pudding nhãn,Lẩu tôm chua cay; Phở; Rau luộc,Cơm niêu cá kho tộ; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì yến mạch ,Cốc,Lẩu nấm chay; Bánh mì; Rau củ luộc,Canh kim chi Hàn Quốc; Đậu phụ sốt,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Bánh mì yến mạch ,Hạt hạnh nhân,Súp gà nấm đông cô; Bánh mì; Rau muống xào tỏi,Bánh pancake mật ong; Cá hấp; Salad trộn ít dầu,Không chay,0,0,1,0,1,1,1,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + trái cây ít đường,Chè hạt sen thanh long đỏ,Bánh cuốn Thanh Trì; Trứng luộc; Rau muống xào tỏi,Lẩu cá kèo lá giang; Salad trộn ít dầu,Không chay,0,0,1,0,1,1,0,1,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Hạt hạnh nhân,Sandwich trứng; Bún; Rau muống xào tỏi,Cháo lòng; Trứng luộc; Canh rau ngót,Không chay,0,0,1,0,0,1,1,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Sinh tố đào,Cá kèo chay kho tiêu; Bánh xèo nấm chay; Cải thìa xào,SALAD GIÁNG SINH - SALAD ĐẬU GÀ THUẦN CHAY; Nấm Lộc Nhung Xào Cải Rổ Chay; Cải thìa xào,chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Cốc,Canh khoai mỡ tôm tươi; Phở; Dưa góp,Bánh bèo Huế; Đậu phụ sốt; Salad trộn ít dầu,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Khoai lang hấp,Cốc,Bánh mì bơ đường; Trứng luộc; Rau muống xào tỏi,Cơm niêu cá kho tộ; Rau luộc,Không chay,0,0,0,0,0,1,0,0,1,0,"Thiếu máu, Suy dinh dưỡng","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
